author_timestamp,n_additions,n_deletions
2017-01-15 00:33:08,31,23
2016-12-26 09:10:19,65,0
2016-12-26 09:10:19,0,64
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-26 09:10:19,1,1
2016-12-16 18:42:06,3,0
2016-12-16 18:42:06,3,0
2016-12-22 02:55:02,26,29
2016-12-20 12:04:57,93,3
2016-12-20 12:04:57,0,75
2016-12-20 12:04:57,0,5
2016-12-20 12:04:57,3,0
2016-11-21 00:33:09,2,0
2016-11-21 00:33:09,35,38
2016-11-20 04:23:18,0,2
2016-11-20 03:37:03,0,4
2016-08-30 02:39:56,8,6
2016-08-30 02:04:51,30,37
2016-08-30 00:56:35,4,11
2016-09-06 02:06:35,1,3
2016-09-06 02:20:03,8,6
2016-09-06 01:42:32,1,1
2016-11-14 06:50:26,18,30
2016-11-14 06:43:34,7,11
2016-11-14 06:39:36,7,6
2016-11-14 06:34:52,4,10
2016-11-14 05:40:33,25,25
2016-06-05 20:38:18,8,26
2016-11-21 01:27:12,2,2
2016-11-21 01:27:12,1,1
2016-11-21 01:27:12,1,1
2016-11-21 01:27:12,1,1
2016-11-21 00:45:28,1,1
2016-11-21 00:45:28,4,4
2016-11-21 00:45:28,1,1
2016-11-21 00:45:28,2,2
2016-11-21 00:49:34,2,2
2016-11-21 00:49:34,1,1
2016-11-21 00:49:34,2,2
2016-11-21 00:49:34,2,2
2016-11-21 00:49:34,1,1
2016-11-21 00:49:34,1,1
2016-11-21 01:28:12,1,1
2016-11-21 01:28:12,1,1
2016-11-21 00:34:31,1,1
2016-11-21 00:33:32,3,3
2016-11-21 00:30:18,1,1
2016-11-21 00:30:18,1,1
2016-11-21 00:30:18,2,2
2016-11-21 00:30:18,2,2
2016-11-21 01:36:51,1,1
2016-11-21 01:36:51,2,2
2016-11-21 01:36:51,1,1
2016-11-21 01:24:41,5,5
2016-11-21 01:23:04,1,1
2016-11-21 01:23:04,1,1
2016-11-21 01:23:04,2,2
2016-11-21 01:21:17,3,3
2016-11-21 01:21:17,2,2
2016-11-21 01:19:09,1,1
2016-11-21 01:19:09,4,4
2016-11-21 01:19:09,1,1
2016-11-21 01:19:09,1,1
2016-11-21 01:19:09,2,2
2016-11-21 01:19:09,1,1
2016-11-21 01:19:09,5,5
2016-11-21 01:19:09,1,1
2016-11-21 01:19:09,4,4
2016-11-03 22:17:31,1,1
2016-11-03 22:17:31,2,2
2016-11-03 22:17:31,4,4
2016-11-02 02:42:45,3,3
2016-11-02 02:42:45,3,3
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,2,2
2016-11-02 02:09:04,2,4
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,5,7
2016-11-02 02:09:04,3,0
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,95,2
2016-11-02 02:09:04,1,1
2016-11-02 02:09:04,2,4
2016-11-02 02:09:04,2,2
2016-11-02 02:09:04,2,2
